Text,Negative,Neutral,Positive,Compound
"The downcast eyes and heavy lines on the face create a somber, melancholic mood.",0.383,0.5,0.117,-0.5859
Stark black-and-white portrait with heavy lines and stern gaze evokes intensity but no clear specific emotion.,0.139,0.693,0.168,0.1531
"The stark black lines and exaggerated forehead create a stylized, neutral portrait without strong emotional cues.",0.297,0.59,0.113,-0.3498
"The furrowed brow and stark black lines create a somber, weary mood.",0.327,0.533,0.14,-0.4215
The heavy black shadows and downturned eyes convey melancholy and weight.,0.225,0.775,0.0,-0.4404
"The heavy black shadows and downcast eyes convey a somber, melancholic mood.",0.463,0.537,0.0,-0.7096
"The heavy facial lines and stark black background create a solemn, brooding intensity rather than any listed emotion.",0.07,0.757,0.173,0.2263
"The stark black shadows consuming the lower face and his deeply furrowed brow evoke a heavy, profound melancholy.",0.254,0.746,0.0,-0.6249
"The stark black background and harsh, swirling lines on the forehead create a feeling of brooding intensity and unease.",0.24,0.558,0.202,-0.4404
"The bold woodcut lines and exaggerated facial mass create a striking, larger-than-life presence.",0.093,0.596,0.311,0.5106
"The bold woodcut lines and dramatic contrast create a striking, monumental portrait that commands attention.",0.0,0.719,0.281,0.5719
"The bold woodcut lines and exaggerated, looming face command attention with striking graphic intensity.",0.176,0.667,0.158,0.1779
"Soft colors, calm pose, and arranged flowers create a quiet, balanced domestic scene.",0.0,0.694,0.306,0.5267
"Calm posture and soft gaze, with flowers and fruit, create a serene domestic atmosphere.",0.0,0.575,0.425,0.7506
"Soft colors, relaxed pose, and still-life flowers create a calm, balanced domestic scene.",0.0,0.542,0.458,0.765
"Her weary gaze and exposed, vulnerable posture evoke quiet melancholy.",0.577,0.423,0.0,-0.7351
The woman's weary gaze and exposed torso convey vulnerability and melancholy.,0.539,0.461,0.0,-0.7351
Her weary expression while holding an apple evokes melancholy.,0.417,0.583,0.0,-0.6124
"The woman's gentle, downturned gaze and the vibrant flowers in the white pitcher evoke a quiet, reflective peace.",0.0,0.588,0.412,0.8689
"The woman's downcast eyes and unsmiling face give the piece a melancholic feel, contrasting with the bright flowers.",0.195,0.667,0.138,-0.0516
"Her downward gaze and unsmiling face, paired with the muted grey walls, evoke a quiet sense of sorrow.",0.173,0.765,0.061,-0.4939
"The warm tones, fresh flowers, and relaxed posture create a calm, domestic harmony.",0.0,0.293,0.707,0.91
"The soft warm palette and casual still life with flowers and fruit evoke quiet, domestic calm.",0.0,0.684,0.316,0.6124
"The warm tones, fresh flowers, and fruit on the table create a calm, domestic tranquility.",0.0,0.441,0.559,0.8555
"The gentle smile and warm lighting on the man’s face create a calm, peaceful atmosphere.",0.0,0.349,0.651,0.9169
"The gentle smile and relaxed eyes of the elderly man create a calm, reassuring presence.",0.0,0.338,0.662,0.9287
The gentle smile and soft lighting on the elderly man’s face convey calm warmth and quiet satisfaction.,0.0,0.469,0.531,0.9118
The soft smile and crinkled eyes suggest peaceful satisfaction in later life.,0.0,0.511,0.489,0.8225
"His soft, closed-mouth smile and crinkled eyes convey quiet peace.",0.0,0.571,0.429,0.7184
"His soft, closed-mouth smile and crinkled eyes convey peaceful acceptance of old age.",0.0,0.535,0.465,0.8271
"His gentle smile and the warm crinkles around his eyes convey a quiet, peaceful satisfaction.",0.0,0.402,0.598,0.9081
"His gentle, warm smile and the soft lighting across his deeply lined face evoke a quiet, peaceful satisfaction.",0.0,0.472,0.528,0.9081
"The subject's subtle, warm smile and relaxed facial features evoke a peaceful sense of satisfaction.",0.0,0.396,0.604,0.9136
His warm smile and relaxed expression radiate quiet satisfaction and peace.,0.0,0.3,0.7,0.9186
"His gentle smile and soft wrinkles suggest a life well-lived, radiating warmth and peaceful satisfaction.",0.0,0.383,0.617,0.926
"His warm smile and soft wrinkles suggest a life well-lived, radiating quiet joy.",0.0,0.523,0.477,0.802
"Soft gaze, relaxed posture, and warm lighting create a calm, serene impression.",0.0,0.258,0.742,0.9081
"Soft gaze, relaxed mouth, and warm tones create a calm, serene presence.",0.0,0.324,0.676,0.8885
"The subject’s soft gaze and relaxed posture, with warm tones and gentle lighting, evoke calm and quiet satisfaction.",0.0,0.496,0.504,0.9042
Her soft gaze and relaxed posture suggest quiet calm.,0.0,0.56,0.44,0.6705
"Her soft gaze and relaxed shoulders, with the pink ribbon choker, create a gentle, serene calm.",0.0,0.426,0.574,0.91
Her soft gaze and the pink ribbon choker convey quiet calm against the dark background.,0.0,0.859,0.141,0.3182
"The soft, warm lighting and her subtle, relaxed smile convey a deep sense of peace and quiet satisfaction.",0.0,0.462,0.538,0.9186
"Her soft, faint smile and relaxed gaze convey a quiet peace, enhanced by the warm lighting on her face.",0.0,0.558,0.442,0.8779
"Her subtle half-smile and the soft, warm lighting on her face convey a quiet, peaceful state.",0.0,0.718,0.282,0.6249
"Her soft gaze and gentle closed-mouth smile, paired with warm tones, evoke quiet calm.",0.0,0.51,0.49,0.8225
"Her soft gaze and subtle smile, paired with the warm tones, evoke quiet calm and inner peace.",0.0,0.56,0.44,0.8481
